,Epoch,Feature type,Test accuracy
188,3500,Edge Direction Histogram & Co-occurrence Matrix,21.666666666666668
189,3600,Edge Direction Histogram & Co-occurrence Matrix,21.666666666666668
190,3700,Edge Direction Histogram & Co-occurrence Matrix,21.666666666666668
191,3800,Edge Direction Histogram & Co-occurrence Matrix,21.666666666666668
192,3900,Edge Direction Histogram & Co-occurrence Matrix,21.666666666666668
193,4000,Edge Direction Histogram & Co-occurrence Matrix,21.666666666666668
194,4100,Edge Direction Histogram & Co-occurrence Matrix,21.666666666666668
195,4200,Edge Direction Histogram & Co-occurrence Matrix,21.666666666666668
196,4300,Edge Direction Histogram & Co-occurrence Matrix,21.666666666666668
197,4400,Edge Direction Histogram & Co-occurrence Matrix,22.0
198,4500,Edge Direction Histogram & Co-occurrence Matrix,22.0
199,4600,Edge Direction Histogram & Co-occurrence Matrix,22.0
200,4700,Edge Direction Histogram & Co-occurrence Matrix,22.0
201,4800,Edge Direction Histogram & Co-occurrence Matrix,22.333333333333332
202,4900,Edge Direction Histogram & Co-occurrence Matrix,22.0
203,5000,Edge Direction Histogram & Co-occurrence Matrix,22.0
