,Epoch,Feature level,Test accuracy
124,2200,Level -3,80.66666666666666
125,2300,Level -3,80.66666666666666
126,2400,Level -3,80.66666666666666
127,2500,Level -3,81.0
128,2600,Level -3,81.0
129,2700,Level -3,81.0
130,2800,Level -3,81.33333333333333
131,2900,Level -3,81.33333333333333
132,3000,Level -3,81.33333333333333
133,3100,Level -3,81.33333333333333
134,3200,Level -3,81.33333333333333
135,3300,Level -3,81.33333333333333
136,3400,Level -3,81.33333333333333
137,3500,Level -3,81.0
138,3600,Level -3,81.0
139,3700,Level -3,81.0
140,3800,Level -3,81.0
141,3900,Level -3,81.0
142,4000,Level -3,81.0
143,4100,Level -3,81.0
144,4200,Level -3,81.0
145,4300,Level -3,81.0
146,4400,Level -3,81.0
147,4500,Level -3,81.0
148,4600,Level -3,81.0
149,4700,Level -3,81.0
150,4800,Level -3,81.0
151,4900,Level -3,81.0
152,5000,Level -3,81.0
153,0,Level -4,4.0
154,100,Level -4,78.0
155,200,Level -4,79.66666666666666
156,300,Level -4,81.33333333333333
157,400,Level -4,82.33333333333334
158,500,Level -4,82.33333333333334
159,600,Level -4,82.33333333333334
160,700,Level -4,83.33333333333334
161,800,Level -4,84.0
162,900,Level -4,84.33333333333334
163,1000,Level -4,84.33333333333334
164,1100,Level -4,84.33333333333334
165,1200,Level -4,84.66666666666667
166,1300,Level -4,85.33333333333334
167,1400,Level -4,85.0
168,1500,Level -4,84.66666666666667
169,1600,Level -4,84.66666666666667
170,1700,Level -4,84.66666666666667
171,1800,Level -4,84.66666666666667
172,1900,Level -4,84.66666666666667
173,2000,Level -4,84.66666666666667
174,2100,Level -4,84.66666666666667
175,2200,Level -4,85.0
176,2300,Level -4,85.0
177,2400,Level -4,85.0
178,2500,Level -4,85.33333333333334
179,2600,Level -4,85.0
180,2700,Level -4,85.0
181,2800,Level -4,85.0
182,2900,Level -4,85.0
183,3000,Level -4,85.33333333333334
184,3100,Level -4,85.33333333333334
185,3200,Level -4,85.33333333333334
186,3300,Level -4,85.0
187,3400,Level -4,85.0
188,3500,Level -4,85.0
189,3600,Level -4,85.0
190,3700,Level -4,85.0
191,3800,Level -4,85.0
192,3900,Level -4,85.0
193,4000,Level -4,85.0
194,4100,Level -4,85.0
195,4200,Level -4,85.0
196,4300,Level -4,85.0
197,4400,Level -4,85.0
198,4500,Level -4,85.0
199,4600,Level -4,85.0
200,4700,Level -4,85.0
201,4800,Level -4,85.0
202,4900,Level -4,85.0
203,5000,Level -4,85.0
